City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Miracema Do Tocantins,BR,78.19,broken clouds,-9.5618,-48.3967,Miami Apart Hotel
434,Daru,PG,85.71,overcast clouds,-9.0763,143.2092,Daru Lodge
437,Nago,JP,76.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
438,Mahanoro,MG,71.64,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
447,Bambanglipuro,ID,81.46,overcast clouds,-7.95,110.2833,Puri Brata
448,Gat,IL,70.39,scattered clouds,31.61,34.7642,OlusHome
449,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
450,Pangai,TO,77.7,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
451,Celestun,MX,77.45,clear sky,20.8667,-90.4,Posada Lilia
454,Biak,ID,83.91,broken clouds,-0.9131,122.8766,Penginapan Kim
456,Maua,BR,72.36,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
458,Inhambane,MZ,73.33,light rain,-23.865,35.3833,Oceano
465,Srandakan,ID,81.43,overcast clouds,-7.9386,110.2506,Puri Brata
466,Barreirinha,BR,82.47,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
467,Riberalta,BO,82.18,broken clouds,-10.9833,-66.1,Hotel Colonial
473,Acarau,BR,79.57,scattered clouds,-2.8856,-40.12,castelo pizzaria
474,Cockburn Town,TC,80.87,clear sky,21.4612,-71.1419,Osprey Beach Hotel
475,Kollam,IN,77.4,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
476,Kudahuvadhoo,MV,79.68,light rain,2.6708,72.8944,Niyama Private Islands Maldives
477,Tautira,PF,75.43,overcast clouds,-17.7333,-149.15,Pension Oaoa
480,Alta Floresta,BR,77.0,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
484,Cururupu,BR,76.53,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
485,Dovers,VC,79.9,clear sky,12.8833,-61.1833,Ocean Breeze
486,Ambanja,MG,72.81,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
487,Los Llanos De Aridane,ES,70.12,broken clouds,28.6585,-17.9182,Valle Aridane
488,Nabire,ID,79.66,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
492,Hatillo,PR,79.02,clear sky,18.4863,-66.8254,El Buen Hotel
493,Faanui,PF,72.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
