City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Phan Thiet,VN,10.9333,108.1,85.41,62,30,8.41,scattered clouds
336,Vao,NC,-22.6667,167.4833,74.21,79,44,15.57,scattered clouds
337,Bairiki,KI,1.3292,172.9752,86.0,66,20,11.5,few clouds
338,Ilhabela,BR,-23.7781,-45.3581,71.62,90,88,5.46,overcast clouds
339,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,75,4.61,broken clouds
340,Itarema,BR,-2.9248,-39.9167,79.59,80,35,13.96,scattered clouds
341,Fare,PF,-16.7,-151.0167,72.84,89,100,10.27,light rain
342,Calamar,CO,10.2511,-74.9146,76.05,91,100,2.53,overcast clouds
343,Chokurdakh,RU,70.6333,147.9167,-18.29,97,100,7.54,overcast clouds
344,Batangafo,CF,7.3008,18.2833,70.34,53,48,2.19,scattered clouds
345,Port Lincoln,AU,-34.7333,135.8667,58.44,64,100,17.47,overcast clouds
346,Chai Badan,TH,15.2,101.1333,80.42,77,87,10.74,overcast clouds
